,Job title,Company name,Location,Job type,Exp level,Exp years,Skills
914,Electrical technical office engineer - SENIOR - EARTHING SCOPE,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,Engineering - Other,AutoCAD,Microsoft Office,Engineering,engineer,Design,Electrical,Electrical Engineering"
915,Quality Control Engineer,Kama Manufacturing -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Manufacturing/Production,Quality,Engineering - Mechanical/Electrical,Quality Control,Quality Assurance,Chemical,Engineering,Mechanical Engineering,SAP,Statistical Process Control"
916,Medical Planner,Confidential -,"Maadi, Cairo, Egypt ",Full Time,Manager,3 - 7 Yrs of Exp,"Marketing/PR/Advertising,Digital Marketing,Medical,Marketing,Digital"
917,Finance Manager,Tamayouz Development and Training Company -,"6th of October, Giza, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,"Accounting/Finance,Operations/Management,Accounting,Financial Management,excel,Finance,Financial"
918,Training Manager,Tamayouz Development and Training Company -,"Nasr City, Cairo, Egypt ",Full Time,Manager,3 - 5 Yrs of Exp,"Operations/Management,Training/Instructor,E-Learning,Education,learning,Training"
919,National_FM Civil Engineer,Cairo Festival City -,"Cairo, Egypt ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"Project/Program Management,Engineering - Mechanical/Electrical,civil engineering,engineering,construction,project management,quality,management,maintenance"
920,QA Assistant,Allamna Integrated Solutions -,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Quality,QA,quality,fresh,Freshgrade,Quality Assurance"
921,Senior Structure Design Engineer,Rowad Modern Engineering -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Civil Engineering,Civil,Computer Science,Engineering,ETABS,Microsoft,Safe,SAP"
922,Quality Manager,Nature's Rule Egypt LLC  -,"Badr City, Cairo, Egypt ",Full Time,Manager,10+ Yrs of Exp,"Quality,Engineering - Other,Agriculture,Engineering,English,quality,Quality Assurance,Quality Management,Quality Control,Safety"
923,National_Facilities Management Engineer,Majed el Futtiam -,"Cairo, Egypt ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,Electrical Engineering,Mechanical Engineering,Facility Management,Engineering,Maintenance,Building Management,Civil Engineering"
924,Sales Representative,Nacita -,"Downtown, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Sales/Retail,sales skills,Communication skills,Sales representative,Sales"
925,Senior .Net Developer,Al Ahly Momkn for e-payment -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,.Net,Software Engineering,ASP.Net,HTML,Software Development,SQL,Information Technology (IT),Computer Science"
926,Senior E-commerce Merchandising Specialist,DBS -,"Maadi, Cairo, Egypt ",Full Time,Senior Management,4 - 5 Yrs of Exp,"Marketing/PR/Advertising,Sales/Retail,Media/Journalism/Publishing,E-Commerce,Commerce,Communication"
927,Real Estate Sales,Concrete properties -,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Business Development,Customer Service/Support,Sales/Retail,Communication,Experience,Negotiation,Real Estate,Real Estate Agent,sales skills,Sales Target"
928,Mechanical Design Engineer,Confidential -,"Sheraton, Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Engineering - Mechanical/Electrical,Engineering,Mechanical Engineering,AutoCAD Design,3D,Design,Production"
