,Job title,Company name,Location,Job type,Exp level,Exp years,Skills
1191,"Sr. Technician, QoS Benchmarking Projects & NW validations",Orange Egypt -,"Smart Village, Giza, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"Engineering - Other,QoS,Quality of service"
1192,Business Support Specialist (Tele Sales ),Horeca Star -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"Customer Service/Support,Sales/Retail,Customer Service,Customer Care,Customer Support,Microsoft Office,Business Development,Sales"
1193,Planner,Marbella For Food Industry  -,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Logistics/Supply Chain,Operations/Management,Manufacturing/Production,Engineering,excel,FMCG,Logistics,Management,Manufacturing,Microsoft Office"
1194,Projects Sales Specialist (Sohag),El sewedy Trading  -,"Sohag, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Sales/Retail,Sales,Customer Service"
1195,Senior Information Security and PKI support Engineer,ITIDA -,"6th of October, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Engineering - Other,Communication,Engineering,Information Technology (IT),IT,network,Networks,Security"
1196,French Back Office,Mico World Limited -,"Maadi, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Customer Service/Support,Customer Service,Customer Care,french,Customer Support"
1197,Real Estate senior sales,iskan -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Sales/Retail,Real Estate,Real Estate Agent,sales skills,Sales Target,Sales,Experience"
1198,Senior Interior Designer,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 10 Yrs of Exp,"Creative/Design/Art,Engineering - Other,Furniture,Applied Arts,AutoCAD,Design,Creative,Fine Arts,Interior Design,Adobe Photoshop"
1199,Administrator (Fleet Maintenance),Ostool Transport -,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Logistics/Supply Chain,Automotive,English,Microsoft Office"
1200,Sales Engineer,Rady Trans -,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Sales/Retail,Engineering - Telecom/Technology,Engineering - Mechanical/Electrical,Engineering,business,Industrial,Management,Sales Engineering,Sales,Sales Management"
1201,Leasing Manager,Meadias -,"Heliopolis, Cairo, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,"Sales/Retail,Sales,Retail Management,Management,Retail"
1202,Java Technical Lead,Onecard -,"Nasr City, Cairo, Egypt ",Full Time,Manager,6+ Yrs of Exp,"IT/Software Development,Operations/Management,Engineering - Telecom/Technology,Java,HTML,Software Development,Information Technology (IT),UML,JSP,J2EE"
1203,Sales Marketing Executive,special group -,"Dokki, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Marketing/PR/Advertising,Market Research,media,Sales,Social Media"
1204,Human Capital Specialist,Venus International Free Zone  -,"Dkhaila, Alexandria, Egypt ",Full Time,Entry Level,0 - 3 Yrs of Exp,"Administration,Customer Service/Support,Human Resources,excel,HR,hr management,Human Resources (HR),Microsoft Office,Personnel,Recruitment"
1205,Pricing Specialist,Confidential -,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Medical/Healthcare,Market Research,Pricing,Medical Insurance"
1206,Business Development,New Star -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"Business Development,Marketing/PR/Advertising,Sales/Retail,business,Business Administration,Administration,Business Development,Customer Support,CRM,Management"
1207,Market Specialist,Fabric Tex -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"males_only,Marketing/PR/Advertising,Sales/Retail,Media/Journalism/Publishing,Communication,E-Marketing,Marketing,Negotiation,negotiation skills,social,Skills"
1208,Business Development Specialist,Industrial Modernisation Centre (IMC) -,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Business Development,Engineering - Other,Textile Industry,Chemical Engineering,Business Development,Engineering Field,Marketing"
1209,Senior Network Engineer,Injaz Tech for advanced systems -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Installation/Maintenance/Repair,IT/Software Development,Engineering - Telecom/Technology,Cisco,CCNA,Information Technology (IT),Networking,Computer Engineering,Computer Science,Software Development"
1210,E Commerce Specialist,New Star -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Marketing/PR/Advertising,Sales/Retail,Media/Journalism/Publishing,Amazon,Commerce,Communication,Communication skills,E-Marketing,market,Marketing"
1211,Senior Media Buyer (Real Estate),Confidential -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Marketing/PR/Advertising,Media/Journalism/Publishing,SEO,Digital Marketing,Social Media,Campaign,PPC,Content,Email Marketing,Ads"
1212,Group Senior Internal Auditor,Cairoscan -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 5 Yrs of Exp,"Accounting/Finance,Analyst/Research,Audit,external audit,Accounting,CFE,CIA,CISA,CPA,Internal audit"
1213,Purchasing Sector Manager,Confidential -,"Abu Rawash, Giza, Egypt ",Full Time,Manager,7 - 12 Yrs of Exp,"Operations/Management,Purchasing/Procurement,MS Office,negotiation skills,Procurement,Purchasing,Hotels,Skills,Water Treatment"
1214,Production Engineer,Egyptian Engineering Industries  -,"Abu Rawash, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_only,Manufacturing/Production,Industrial Engineering,Production Engineering,Sheet Metal"
1215,Buisness Support Coordinator,Confidential -,"Abu Rawash, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Administration,Hospitality/Hotels/Food Services,Engineering - Other,Admin,Administration,Microsoft Office,Office Management,Customer Service,Admin Coordination,Customer Care"
1216,Business Developer,TechAdemics -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Business Development,Marketing/PR/Advertising,Sales/Retail,business,CRM,Business Development,Management,Sales"
1217,Supply Chain Manager,Confidential -,"Katameya, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Logistics/Supply Chain,Operations/Management,Purchasing/Procurement,Procurement,Communication skills,Contracting,Purchasing,Logistics,Supply Chain"
1218,IT Section Head,Mersal  -,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"IT/Software Development,Project/Program Management,Engineering - Telecom/Technology,IT,Management,Project Management,Information Technology (IT),Computer Science"
1219,Sr. Regulatory Affairs Specialist,Nature's Rule Egypt LLC  -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"Administration,Medical/Healthcare,Pharmaceutical,Pharmacy,Regulatory Affairs,NFSA,Pharmaceutical,Science,Compliance,regesteration"
1220,Business Developer Sales in marketing agency,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Business Development,Marketing/PR/Advertising,Sales/Retail,Business Development,sales skills,analytical,Experience,Marketing,Sales"
1221,HSE Controller,Saudi German Hospital  -,"New Nozha, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Engineering - Other,Health &amp; Safety,OSHA,Health and Safety,Health,Safety Management,Quality Control,Safety"
1222,Mechanical Engineer - E-commerce Product Specialist,Startech -,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,1 - 10 Yrs of Exp,"Engineering - Mechanical/Electrical,SolidWorks,Mechanical Engineering,Marketing,SEO,Mechanical Design Engineering"
1223,Planning Engineer - Site Based,DME Holding -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Engineering,Microsoft Office,Planning,Primavera,Planning Engineer,Civil,English,Civil Engineering,Architecture"
1224,Marketing Director for a new app startup,Confidential -,"Cairo, Egypt ",Full Time,Manager,7+ Yrs of Exp,"Business Development,Marketing/PR/Advertising,Business Development,Marketing,Sales,Trading,Commodities Trading"
1225,Senior HVAC Design Engineer,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,9 - 14 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Creative/Design/Art,Engineering - Mechanical/Electrical,AutoCAD,Design,HVAC,Engineering,English,Mechanical Engineering,Shop Drawings"
1226,Quality Control Manager,Egast -,"Bab Sharq, Alexandria, Egypt ",Full Time,Manager,3 - 10 Yrs of Exp,"Quality,Agricultural Engineering,Agriculture Engineering,quality"
1227,Architect Technical Office' Team Leader,RAQMU for Building and Construction -,"Sheraton, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Architecture,Construction,AutoCAD"
1228,Primavera P6 Scheduler,Alis Construction Group  -,"Cairo, Egypt ",Full Time,Entry Level,2 - 5 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Project Management,Primavera,Scheduling,Planning,Engineering,Civil Engineering"
1229,Electrical Site Engineer,Raafat Miller Consulting -,"Dokki, Giza, Egypt ",Full Time,Experienced,3 - 8 Yrs of Exp,"Engineering - Mechanical/Electrical,Electrical,Electrical Engineering,Electrical Site,electrical site engineer,engineer,Engineering,Site,Site Engineer"
1230,Front End Developer (Vue.js),Dafa -,"Haram, Giza, Egypt ",Full Time,Experienced,2 - 6 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Computer Science,front-end,Information Technology (IT),JavaScript,Programming,SEO,Software Development,Web Development"
1231,Marketing Supervisor ( Food & Beverage ),Confidential -,"Obour City, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Marketing/PR/Advertising,Marketing,FMCG,Social Media,Market Research,Sales"
1232,Marketing & Sales Executive,Alpha Real Estate -,"6th of October, Giza, Egypt ",Full Time,Entry Level,Business Development,"Creative/Design/Art,Marketing/PR/Advertising,Marketing,Sales,sales skills,CRM,Market Research,Social Media"
1233,Quality Assurance Supervisor - (Wadi Natron),Al Watania Poultry -,"Wadi Alnatrun, Beheira, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"males_only,R&D/Science,Operations/Management,Quality,Quality Control,Quality,Quality Assurance,Science,Veterinary,ISO,QA"
1234,electrical technical office engineer,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Manufacturing/Production,Engineering - Mechanical/Electrical,AutoCAD,Communication,Electrical,Electrical Engineering,Engineering,Manufacturing,Microsoft Office"
1235,Senior technical office engineer - earthing and lightning scope,Confidential -,"Cairo, Egypt ",Full Time,Experienced,3 - 9 Yrs of Exp,"Engineering - Mechanical/Electrical,Engineering - Other,AutoCAD,2D,CAD,Microsoft Office,Technical Office,Drawing,Engineering,English"
1236,Accounts Payable Specialist,Samaya Electronics Egypt LTD -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"Accounting/Finance,Finance,Accounting"
1237,Export Sales supervisor (fresh fruits & vegtables ),El Awam for import &Export  -,"Obour City, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Logistics/Supply Chain,Sales/Retail,Export,Logistics,Sales"
1238,CRM Manager,Wham Clinics  -,"Sidi Bishr, Alexandria, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,"females_only,Customer Service/Support,CRM,CRM System,Customer Service Management,Customer Service,Customer Care,Customer Support,Customer Relations,Customer Satisfaction,Customer Retention"
1239,Purchasing Manager,GPS -,"10th of Ramadan City, Cairo, Egypt ",Full Time,Manager,10+ Yrs of Exp,"Logistics/Supply Chain,Operations/Management,Purchasing/Procurement,Purchasing,Procurement,Foreign,Supply Chain,Logistics,Purchasing Management"
1240,Senior Site MEP,Confidential -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Business Development,Engineering - Mechanical/Electrical,Construction,Engineering,Mechanical Engineering,MEP,Site"
1241,Senior Media Buyer,FORALL -  -,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Marketing/PR/Advertising,Buyer,Media Buyer,Planning,Social Media,Marketing"
1242,Business Solutions Senior Specialist,Kandil Industries -,"10th of Ramadan City, Cairo, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"IT/Software Development,Analyst/Research,business,ERP,ERP Solutions,ERP System"
1243,Poultry Slaughterhouse and Further Processing QC Manager,Confidential -,"Alsadat City, Monufya, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,"Quality,QC,Quality Control,Slaughterhouse,Further Processing,Poultry,Food industry,FMCG,Veterinary Medicine"
1244,Quality Assurance Team Lead,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Customer Service/Support,Quality,quality,Quality Assurance,Customer Support"
1245,Purchasing Specialist (Textile Experience),MINISO LIFE -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Sales/Retail,Purchasing/Procurement,English,MS Office,negotiation skills,Purchasing,Logistics,Procurement,Negotiation,Supply Chain"
1246,QC Engineer,El-Sewedy Electrometer -,"Helwan, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_only,IT/Software Development,Quality,Engineering - Telecom/Technology,Communication,Design,Electronics,Engineering,QC,QA,Quality Assurance"
1247,Marketing Manager,Tadarab -,"Victoria, Alexandria, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,"Marketing/PR/Advertising,Marketing Strategies,Market Research,Digital Marketing,Marketing Management,SEO,Social Media,SEM,CRM,Media Buying"
1248,Site Electrical Engineer (Females only),COLAS RAIL Egypt -,"Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,Electrical Engineering,Electrical,Industrial,Mechatronics,Microsoft Office,Projects,English"
1249,Senior UI-UX Designer,The Address Investments for Real Estate Consultancy -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Creative/Design/Art,IT/Software Development,Engineering - Telecom/Technology,UI,UI/UX,UX,figma,Design Systems,Design Styles"
1250,Procurement Supervisor,Al Dahra Agriculture -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Purchasing/Procurement,Procurement,Purchasing,Supply Chain,Sourcing"
1251,Head of HSE Department (Steel Manufacturing /Fabrication),Confidential -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,5 - 9 Yrs of Exp,"Operations/Management,Manufacturing/Production,Engineering - Mechanical/Electrical,Manufacturing,NEBOSH,OSHA,HSE,Engineering,Safety,Health"
1252,Senior Dot Net Developer,SURE International Technology -,"Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"IT/Software Development,.Net,ASP.Net,Angular,Software"
1253,Quantity Surveying Engineer,TIC -,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Engineering,Civil Engineering,Quantity Surveying,QS,Qs engineer,Architectural Engineering,Technical Office"
1254,Pumps Plant Maintenance Manager,Allweiler Farid Hassanein -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"males_only,Manufacturing/Production,Electrical Engineering,Maintenance,CNC Machines"
1255,YouTube Specialist,Injaz Digital  -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"Marketing/PR/Advertising,Media/Journalism/Publishing,Computer Science,SEO,Computer Engineering,Marketing,Market Research,Social Media,Media,YouTube"
1256,Senior Quality Control Engineer (Civil),AlGammal Contracting -,"Abu Qir, Alexandria, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"males_only,Engineering - Construction/Civil/Architecture,Quality,Quality Control,Civil Engineering,Project,Civil,quality,Control"
1257,Planning and Contracts Team Leader,Solera -,"Cairo, Egypt ",Full Time,Experienced,7 - 15 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Project/Program Management,Engineering - Mechanical/Electrical,Planning,Time Scheduling,Contracts Management,Engineering,MEP Engineering,Strategic Planning"
1258,Media Buyer - Alexandria,Al Mostakbal Academy -,"Stanley, Alexandria, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Marketing/PR/Advertising,Media/Journalism/Publishing,Education/Teaching,Ads,Media Buying,Advertising,Google Ads,Digital Marketing,Marketing"
1259,Senior AX Microsoft Dynamics Functional Consultant,Sky Holding -,"Cairo, Egypt ",Full Time,Experienced,3 - 8 Yrs of Exp,"Accounting/Finance,IT/Software Development,Ax,Accounting,Dynamics AX,ERP,Dynamics,Microsoft Dynamics,business,Functional"
1260,Devops Engineer,Talents Arena -,"6th of October, Giza, Egypt ",Internship,Entry Level,IT/Software Development,"Devops Engineer,DevOps"
1261,QA Documentation Senior Specialist,Al Andalous Pharmaceutical Industries -,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Manufacturing/Production,Quality,Pharmaceutical,GDP,ISO,GMP,Documentation,Quality Assurance"
1262,Hydraulic Design Engineer ( Water & Wastewater ),Confidential -,"Giza, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Creative/Design/Art,Civil Engineering,Design,Engineering,Water Treatment,Civil,Networks,wastewater,English"
1263,SAP Basis Admin,Confidential -,"Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"IT/Software Development,Computer Science,Computer Engineering,SAP Basis,SAP,Oracle,Administration,Information Technology (IT),Configuration"
1264,Senior Quality Engineer,Edentech -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Computer Science,Information Technology (IT),Computer Engineering,Software,Software Development,Software Engineering,SQL,OOP"
1265,Technical Office Manager,Thaka International -,"Cairo, Egypt ",Full Time,Manager,8+ Yrs of Exp,"Administration,Engineering - Construction/Civil/Architecture,Administration,excel,Management,Microsoft Office,technical,Technical Office,Communication,Office management"
1266,Senior Real Estate Sales Agent,Makkah Developments -,"6th of October, Giza, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"Sales/Retail,Sales,Real Estate,Sales Skills,Sales Target,Real Estate Agent,Negotiation"
1267,Architect Project Manager,EGYGAB Developments -,"New Cairo, Cairo, Egypt ",Full Time,Manager,10 - 18 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Project/Program Management,Architect,Engineering,Project Management,Project Manager,Architecture,AutoCAD,Revit,MS Office"
1268,Sales Manager - Religious Tourism,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,"males_only,Sales/Retail,Tourism/Travel,Manager,hotel,Sales Manager,Sales"
1269,Purchasing Supervisor,Confidential -,"Maadi, Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"Purchasing/Procurement,Purchasing,FMCG,Vendors,Suppliers,Procurement"
1270,Junior Mechanical Maintenance Engineer (Alexandria Residents),Confidential -,"Alexandria, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,"Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,Mechanical Engineering,Maintenance,Mechanical Power Engineering,Mechanical Power,Engineering,Management,Mechanical,Power"
1271,Cost Control & Planning Engineer,Qubix -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,6 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture,BOQ,Cost Control,Engineering,Management,Negotiation,Quantity Surveying,Time Management,Construction"
1272,Industrial Sales Area Manager - B2B,Petromin -,"Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"Sales/Retail,Mechanical,Sales,sales skills,Engineering,Sales Target"
1273,Machine Learning Intern,Talents Arena -,"Heliopolis, Cairo, Egypt ",Internship,Entry Level,IT/Software Development,"Algorithms,AI,Computer Science,Information Technology (IT),Machine Learning,Python,NLP"
1274,Chief Operating Officer,Venus International Free Zone  -,"Dkhaila, Alexandria, Egypt ",Full Time,Senior Management,7 - 15 Yrs of Exp,"Logistics/Supply Chain,Operations/Management,Communication skills,Management,Operations Management,business"
1275,Team Lead Full stack .NET,A1Softech -,"Maadi, Cairo, Egypt ",Full Time,Manager,6 - 10 Yrs of Exp,"IT/Software Development,Computer Science,Information Technology (IT),Software Development,team lead,NET,Full Stack,.Net"
1276,Treasury Section Head,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,6 - 9 Yrs of Exp,"Accounting/Finance,Banking,Accounting,English,Banking,Finance,Treasury,Management,Microsoft Office"
1277,Events & Internal Communication Supervisor,Raya Customer Experience -,"6th of October, Giza, Egypt ",Full Time,Manager,3 - 5 Yrs of Exp,"Human Resources,Marketing/PR/Advertising,Employee Engagement,Internal Communication,Events,Human Resources (HR),Marketing"
1278,Quality Control Civil Engineer (Toshka),AlGammal Contracting -,"Aswan, Aswan, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"males_only,Engineering - Construction/Civil/Architecture,Quality,Quality Control,Civil Engineering,Project,Civil,quality,Control"
1279,Senior Cost Accountant,Chema industries -,"Noubaria, Beheira, Egypt ",Full Time,Experienced,5 - 5 Yrs of Exp,"males_only,Accounting/Finance,Accounting,CMA,Cost,Cost Accounting,Financial Management"
1280,Marketing Executive,Go Native -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"Marketing/PR/Advertising,Marketing,Advertising agency,Public Relations (PR)"
1281,Senior Python Django Developer,Itechs -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development,Development,CI/CD,APIs,Information Technology (IT),Software,Python,Software Development,Programming,DevOps"
1282,Project Engineer,Chema Foam -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Project/Program Management,AutoCAD,Rivet,Engineering,MS Office,Project Management,Construction"
1283,Sr. Java Developer,Asset Technology Group -,"Sheraton, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Java,Angular 5,Hibernate,Coding,Programming,Web Development,Spring Boot,Spring"
1284,Digital media buying and management.,Concept Property -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Creative/Design/Art,Marketing/PR/Advertising,Media/Journalism/Publishing,Digital Marketing,Digital,digital media,Lead Generation,Marketing,Management,Media Buying"
1285,Sr. Technical Office Engineer-MEP,Sharm Dreams Group  -,"Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Hospitality/Hotels/Food Services,Engineering - Mechanical/Electrical,BIM,Mechanical Engineering,Mechanical,Rivet,Technical Office,Engineering,Communication"
1286,Marketing Manager,Bazzar -,"Azbakia, Cairo, Egypt ",Full Time,Manager,2 - 5 Yrs of Exp,"Marketing/PR/Advertising,Sales/Retail,Media/Journalism/Publishing,Marketing,Communication skills,MBA,Social Media"
1287,SENOIR SALES,KAMF REAL ESTATE MARKETING  -,"Dokki, Giza, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Sales/Retail,Real Estate,SENOIR SALES"
1288,Planning Engineer,Inco group -,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,2 - 4 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Project/Program Management,Civil Engineering,Architecture,Computer Skills,Primavera,Planning,excel"
1289,CEO Personal Assistant,Oasis Trade Company  -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"females_preferred,Administration,Customer Service/Support,Operations/Management,Communication,Secretary,Office management,Administration"
1290,Quality Control Manager,Elhazek Construction -,"New Cairo, Cairo, Egypt ",Full Time,Manager,15+ Yrs of Exp,"Engineering - Construction/Civil/Architecture,Quality,Quality Control Management,QA,QC,Quality Control,Quality Assurance,Civil Engineering,Quality,Architecture"
1291,Virtual Assistant,Confidential -,"Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Administration,Business Development,Customer Service/Support,Startup,Entrepreneurship,Executive Management,Business English,Microsoft Office,English"
1292,Social Media Specialist,Gadalla Group -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Marketing/PR/Advertising,Content,photoshop,Ads"
1293,Treasury Manager,Confidential -,"New Cairo, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Banking,Operations/Management,Treasury,CTP,Finance"
1294,Account Receivable Manager (A.R Manager),Midea Group -,"Smart Village, Giza, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Accounting/Finance,Sales/Retail,Accounting,Finance,English,Oracle,SAP,Accounts Receivable,Communication,Computer Skills"
1295,HSE Specialist - Alexandria,Rady Trans -,"Ameria, Alexandria, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Operations/Management,Quality,Health and Safety,Quality,HSE,Heavy Equipment,HSE Reports"
1296,Lab Engineer,Zewail City -,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"R&D/Science,Engineering - Mechanical/Electrical,Engineering - Other,Electrical Engineering,Engineering,FPGA,Lab,IT,Electronics,Management"
1297,Embedded Software Engineer Supervisor,Khales -,"Giza, Egypt ",Full Time,Experienced,8 - 10 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,C++,epayment applications,C,developer,Computer Science,Software Engineering,Java,Java native"
1298,Quantity Surveyor,Seldar Egypt -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"males_preferred,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,Architecture,Construction,Engineering,Quantity Surveying,Quantity,Civil,Surveying"
1299,Embedded Software Engineer Team Leader,Khales -,"Giza, Egypt ",Full Time,Experienced,6 - 8 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,C++,epayment applications,C,developer,Computer Science,Software Engineering,Java,Java native"
1300,Senior Business Analyst,Confidential -,"Sheraton, Cairo, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,"IT/Software Development,Analyst/Research,business analyst,Information Technology (IT),Business Development,Computer Science,Software,Software Development"
1301,Software Sales Manager,Advanced Techniques Solutions for Software Company  -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Customer Service/Support,IT/Software Development,Sales/Retail,Sales,sales skills,Sales Target,business,Communication skills,ERP,Customer Service"
1302,Quality Control Team leader Engineer (Mechanical),AlGammal Contracting -,"Abu Qir, Alexandria, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"males_only,Quality,Engineering - Mechanical/Electrical,Engineering,Project,Quality Control,Mechanical Engineering,quality,Control,Mechanical"
1303,Commercial Engineer,Confidential -,"Zamalek, Cairo, Egypt ",Full Time,Experienced,7 - 15 Yrs of Exp,"Manufacturing/Production,Commercial,Engineering Field"
1304,Business Developer Sales in marketing agency,Confidential -,"Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Business Development,Marketing/PR/Advertising,Sales/Retail,Business Development,Marketing,sales skills,Sales"
1305,Marketing Advisor,Alimento -,"Madinaty, Cairo, Egypt ",Full Time,Experienced,4 - 20 Yrs of Exp,"Marketing/PR/Advertising,Marketing,sales skills,Sales,Market Research"
1306,IT & Mobile Category Buyer,B.TECH -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Logistics/Supply Chain,Sales/Retail,Purchasing/Procurement,Buyer,purchasing,E-Commerce,mobiles,electronics"
